Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Ignition\Project Outputs for Ignition\Pick Place\Pick Place for schematic.csv

========================================================================================================================
File Design Information:

Date:       03-03-24
Time:       12:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q1","","TopLayer","FAIR-TO-220AB-3","16,0000","28,0000","90","N-Channel Power MOSFET, 70 A, 60 V, -55 to 175 degC, 3-Pin TO-220AB, RoHS, Tube"
"R83","220R","TopLayer","RESC1608X55X25NL10T15","39,7000","8,0000","180",""
"R82","220R","TopLayer","RESC1608X55X25NL10T15","28,0000","7,6708","180",""
"R73","604R","TopLayer","FP-RMCF0603-IPC_B","38,0000","45,0000","180","604O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R72","604R","TopLayer","FP-RMCF0603-IPC_B","25,7011","46,0000","180","604O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R63","10k","TopLayer","FP-RMCF0603-MFG","38,0000","63,0000","180","10kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R62","10k","TopLayer","FP-RMCF0603-MFG","28,0000","63,0000","180","10kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R53","1k","TopLayer","FP-RMCF0603-MFG","44,0000","44,7250","90","1kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R52","1k","TopLayer","FP-RMCF0603-MFG","32,0000","42,7250","90","1kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R43","1k","TopLayer","FP-RMCF0603-MFG","41,0584","43,0000","180","1kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R42","1k","TopLayer","FP-RMCF0603-MFG","30,0000","46,0000","180","1kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"
"R33","1M","TopLayer","FP-ERJ3EK-IPC_C","35,0000","39,0000","0","RES SMD 1M OHM 1% 1/10W 0603"
"R32","1M","TopLayer","FP-ERJ3EK-IPC_C","22,0000","24,5158","0","RES SMD 1M OHM 1% 1/10W 0603"
